Sequencing.run,Sample_name,Sample_ID,Locus,Index.Set,Index.number,i7_Index_Name,i5_Index_Name,Well,Month.year,Creek,Station,Bio.rep,Dilution.factor,Type
1,15,MiFish.0321.3Chk.Dn.3.40cycles,MiFish,A,15,UDP0015,UDP0015,G2,321,3Chk,Dn,3,1,sample
1,16,MiFish.0321.3Chk.Up.1.40cycles,MiFish,A,16,UDP0016,UDP0016,H2,321,3Chk,Up,1,1,sample
1,17,MiFish.0321.3Chk.Up.2.40cycles,MiFish,A,17,UDP0017,UDP0017,A3,321,3Chk,Up,2,1,sample
1,18,MiFish.0321.3Chk.Up.3.40cycles,MiFish,A,18,UDP0018,UDP0018,B3,321,3Chk,Up,3,1,sample
1,19,MiMammal.0321.4Pad.Up5.1,MiMammal,A,20,UDP0020,UDP0020,D3,321,4Pad,Up5,1,1,sample
1,20,MiMammal.0321.4Pad.Up5.2,MiMammal,A,21,UDP0021,UDP0021,E3,321,4Pad,Up5,2,1,sample
1,21,MiMammal.0321.4Pad.Up5.3,MiMammal,A,22,UDP0022,UDP0022,F3,321,4Pad,Up5,3,1,sample
1,22,MiMammal.0421.4Pad.Up11.1,MiMammal,A,23,UDP0023,UDP0023,G3,421,4Pad,Up11,1,1,sample
1,23,MiMammal.0421.4Pad.Up11.2,MiMammal,A,24,UDP0024,UDP0024,H3,421,4Pad,Up11,2,1,sample
1,24,MiMammal.0421.4Pad.Up11.3,MiMammal,A,25,UDP0025,UDP0025,A4,421,4Pad,Up11,3,1,sample
1,25,MiMammal.0421.4Pad.Up5.1,MiMammal,A,26,UDP0026,UDP0026,B4,421,4Pad,Up5,1,1,sample
1,26,MiMammal.0421.4Pad.Up5.2,MiMammal,A,27,UDP0027,UDP0027,C4,421,4Pad,Up5,2,1,sample
1,27,MiMammal.0421.4Pad.Up5.3,MiMammal,A,28,UDP0028,UDP0028,D4,421,4Pad,Up5,3,1,sample
1,28,MiMammal.0321.3Chk.Dn.1,MiMammal,A,29,UDP0029,UDP0029,E4,321,3Chk,Dn,1,1,sample
1,29,MiMammal.0321.3Chk.Dn.2,MiMammal,A,30,UDP0030,UDP0030,F4,321,3Chk,Dn,2,1,sample
1,30,MiMammal.0321.3Chk.Dn.3,MiMammal,A,31,UDP0031,UDP0031,G4,321,3Chk,Dn,3,1,sample
1,31,MiMammal.0321.3Chk.Up.1,MiMammal,A,32,UDP0032,UDP0032,H4,321,3Chk,Up,1,1,sample
1,32,MiMammal.0321.3Chk.Up.2,MiMammal,A,33,UDP0033,UDP0033,A5,321,3Chk,Up,2,1,sample
1,33,MiMammal.0321.3Chk.Up.3,MiMammal,A,34,UDP0034,UDP0034,B5,321,3Chk,Up,3,1,sample
1,34,Ac16S.0321.4Pad.Up11.1,Ac16S,A,35,UDP0035,UDP0035,C5,321,4Pad,Up11,1,1,sample
1,35,Ac16S.0321.4Pad.Up11.2,Ac16S,A,36,UDP0036,UDP0036,D5,321,4Pad,Up11,2,1,sample
1,36,Ac16S.0321.4Pad.Up11.3,Ac16S,A,37,UDP0037,UDP0037,E5,321,4Pad,Up11,3,1,sample
1,37,Ac16S.0321.4Pad.Up5.1,Ac16S,A,38,UDP0038,UDP0038,F5,321,4Pad,Up5,1,1,sample
1,38,Ac16S.0321.4Pad.Up5.2,Ac16S,A,39,UDP0039,UDP0039,G5,321,4Pad,Up5,2,1,sample
1,39,Ac16S.0321.4Pad.Up5.3,Ac16S,A,40,UDP0040,UDP0040,H5,321,4Pad,Up5,3,1,sample
1,40,Ac16S.0421.4Pad.Up11.1,Ac16S,A,41,UDP0041,UDP0041,A6,421,4Pad,Up11,1,1,sample
1,41,Ac16S.0421.4Pad.Up11.2,Ac16S,A,42,UDP0042,UDP0042,B6,421,4Pad,Up11,2,1,sample
1,42,Ac16S.0421.4Pad.Up11.3,Ac16S,A,43,UDP0043,UDP0043,C6,421,4Pad,Up11,3,1,sample
1,43,Ac16S.0421.4Pad.Up5.1,Ac16S,A,44,UDP0044,UDP0044,D6,421,4Pad,Up5,1,1,sample
1,44,Ac16S.0421.4Pad.Up5.2,Ac16S,A,45,UDP0045,UDP0045,E6,421,4Pad,Up5,2,1,sample
1,45,Ac16S.0421.4Pad.Up5.3,Ac16S,A,46,UDP0046,UDP0046,F6,421,4Pad,Up5,3,1,sample
1,46,Ac16S.0321.3Chk.Dn.1,Ac16S,A,47,UDP0047,UDP0047,G6,321,3Chk,Dn,1,1,sample
1,47,Ac16S.0321.3Chk.Dn.2,Ac16S,A,48,UDP0048,UDP0048,H6,321,3Chk,Dn,2,1,sample
1,48,Ac16S.0321.3Chk.Dn.3,Ac16S,A,49,UDP0049,UDP0049,A7,321,3Chk,Dn,3,1,sample
1,49,Ac16S.0321.3Chk.Up.1,Ac16S,A,50,UDP0050,UDP0050,B7,321,3Chk,Up,1,1,sample
1,50,Ac16S.0321.3Chk.Up.2,Ac16S,A,51,UDP0051,UDP0051,C7,321,3Chk,Up,2,1,sample
1,51,Ac16S.0321.3Chk.Up.3,Ac16S,A,52,UDP0052,UDP0052,D7,321,3Chk,Up,3,1,sample
1,52,COI.0321.1Prt.Dn.1,COI,A,54,UDP0054,UDP0054,F7,321,1Prt,Dn,1,10,sample
1,53,COI.0321.1Prt.Dn.2,COI,A,55,UDP0055,UDP0055,G7,321,1Prt,Dn,2,10,sample
1,54,COI.0321.1Prt.Dn.3,COI,A,56,UDP0056,UDP0056,H7,321,1Prt,Dn,3,10,sample
1,55,COI.0321.1Prt.Up.1,COI,A,57,UDP0057,UDP0057,A8,321,1Prt,Up,1,10,sample
1,56,COI.0321.1Prt.Up.2,COI,A,58,UDP0058,UDP0058,B8,321,1Prt,Up,2,10,sample
1,57,COI.0321.1Prt.Up.3,COI,A,59,UDP0059,UDP0059,C8,321,1Prt,Up,3,10,sample
1,58,COI.0321.5Sqm.Dn.1,COI,A,60,UDP0060,UDP0060,D8,321,5Sqm,Dn,1,1,sample
1,59,COI.0321.5Sqm.Dn.2,COI,A,61,UDP0061,UDP0061,E8,321,5Sqm,Dn,2,1,sample
1,60,COI.0321.5Sqm.Dn.3,COI,A,62,UDP0062,UDP0062,F8,321,5Sqm,Dn,3,1,sample
1,61,COI.0321.5Sqm.Up.1,COI,A,63,UDP0063,UDP0063,G8,321,5Sqm,Up,1,1,sample
1,62,COI.0321.5Sqm.Up.2,COI,A,64,UDP0064,UDP0064,H8,321,5Sqm,Up,2,1,sample
1,63,COI.0321.5Sqm.Up.3,COI,A,65,UDP0065,UDP0065,A9,321,5Sqm,Up,3,1,sample
1,64,COI.0321.4Pad.Dn.1,COI,A,66,UDP0066,UDP0066,B9,321,4Pad,Dn,1,1,sample
1,65,COI.0321.4Pad.Dn.2,COI,A,67,UDP0067,UDP0067,C9,321,4Pad,Dn,2,1,sample
1,66,COI.0321.4Pad.Dn.3,COI,A,68,UDP0068,UDP0068,D9,321,4Pad,Dn,3,1,sample
1,67,COI.0321.4Pad.Up5.1,COI,A,69,UDP0069,UDP0069,E9,321,4Pad,Up5,1,1,sample
1,68,COI.0321.4Pad.Up5.2,COI,A,70,UDP0070,UDP0070,F9,321,4Pad,Up5,2,1,sample
1,69,COI.0321.4Pad.Up5.3,COI,A,71,UDP0071,UDP0071,G9,321,4Pad,Up5,3,1,sample
1,70,COI.0321.3Chk.Dn.1,COI,A,72,UDP0072,UDP0072,H9,321,3Chk,Dn,1,1,sample
1,71,COI.0321.3Chk.Dn.2,COI,A,73,UDP0073,UDP0073,A10,321,3Chk,Dn,2,1,sample
1,72,COI.0321.3Chk.Dn.3,COI,A,74,UDP0074,UDP0074,B10,321,3Chk,Dn,3,1,sample
1,73,COI.0321.3Chk.Up.1,COI,A,75,UDP0075,UDP0075,C10,321,3Chk,Up,1,1,sample
1,74,COI.0321.3Chk.Up.2,COI,A,76,UDP0076,UDP0076,D10,321,3Chk,Up,2,1,sample
1,75,COI.0321.3Chk.Up.3,COI,A,77,UDP0077,UDP0077,E10,321,3Chk,Up,3,1,sample
1,76,COI.0321.2Brn.Dn.1,COI,A,78,UDP0078,UDP0078,F10,321,2Brn,Dn,1,1,sample
1,77,COI.0321.2Brn.Dn.2,COI,A,79,UDP0079,UDP0079,G10,321,2Brn,Dn,2,1,sample
1,78,COI.0321.2Brn.Dn.3,COI,A,80,UDP0080,UDP0080,H10,321,2Brn,Dn,3,1,sample
1,79,COI.0321.2Brn.Up.1,COI,A,81,UDP0081,UDP0081,A11,321,2Brn,Up,1,1,sample
1,80,COI.0321.2Brn.Up.2.OLD,COI,A,82,UDP0082,UDP0082,B11,321,2Brn,Up,2,1,sample
1,81,COI.0321.2Brn.Up.3,COI,A,83,UDP0083,UDP0083,C11,321,2Brn,Up,3,1,sample
1,82,COI.0421.4Pad.Dn.1,COI,A,84,UDP0084,UDP0084,D11,421,4Pad,Dn,1,1,sample
1,83,COI.0421.4Pad.Dn.2,COI,A,85,UDP0085,UDP0085,E11,421,4Pad,Dn,2,1,sample
1,84,COI.0421.4Pad.Dn.3,COI,A,86,UDP0086,UDP0086,F11,421,4Pad,Dn,3,1,sample
1,85,COI.0421.4Pad.Up5.1,COI,A,87,UDP0087,UDP0087,G11,421,4Pad,Up5,1,1,sample
1,86,COI.0421.4Pad.Up5.2,COI,A,88,UDP0088,UDP0088,H11,421,4Pad,Up5,2,1,sample
1,87,COI.0421.4Pad.Up5.3,COI,A,89,UDP0089,UDP0089,A12,421,4Pad,Up5,3,1,sample
1,88,COI.0321.4Pad.Up11.1,COI,A,90,UDP0090,UDP0090,B12,321,4Pad,Up11,1,1,sample
1,89,COI.0321.4Pad.Up11.2,COI,A,91,UDP0091,UDP0091,C12,321,4Pad,Up11,2,1,sample
1,90,COI.0321.4Pad.Up11.3,COI,A,92,UDP0092,UDP0092,D12,321,4Pad,Up11,3,1,sample
1,91,COI.0321.5Sqm.Dn.4,COI,A,93,UDP0093,UDP0093,E12,321,5Sqm,Dn1,4,1,old_tech_rep
1,92,COI.0321.5Sqm.Dn.5,COI,A,94,UDP0094,UDP0094,F12,321,5Sqm,Dn2,5,1,old_tech_rep
1,93,COI.0321.5Sqm.Dn.6,COI,A,95,UDP0095,UDP0095,G12,321,5Sqm,Dn3,6,1,old_tech_rep
1,94,COI.0321.Kangaroo.Kangaroo.1,COI,A,96,UDP0096,UDP0096,H12,321,Kangaroo,Kangaroo,1,1,kangaroo
2,MGY1,Delta.1m1.072021,COI,A,85,UDP0085,UDP0085,E11,mgy,mgy,mgy,mgy,mgy,mgy
3,MGY10,Delta.BAC1.072021,COI,A,94,UDP0094,UDP0094,F12,mgy,mgy,mgy,mgy,mgy,mgy
4,MGY11,Delta.BAC2.072021,COI,A,67,UDP0067,UDP0067,C09,mgy,mgy,mgy,mgy,mgy,mgy
4,MGY12,MBT.BAC1.072021,COI,A,69,UDP0069,UDP0069,E09,mgy,mgy,mgy,mgy,mgy,mgy
4,MGY13,MBT.BAC2.072021,COI,A,86,UDP0086,UDP0086,F11,mgy,mgy,mgy,mgy,mgy,mgy
4,MGY14,HIP.BAC1.072021,COI,A,87,UDP0087,UDP0087,G11,mgy,mgy,mgy,mgy,mgy,mgy
4,MGY15,HIP.BAC2.072021,COI,A,88,UDP0088,UDP0088,H11,mgy,mgy,mgy,mgy,mgy,mgy
4,MGY16,MBT.15m.0721,COI,A,89,UDP0089,UDP0089,A12,mgy,mgy,mgy,mgy,mgy,mgy
4,MGY17,MBT.30m.0721,COI,A,90,UDP0090,UDP0090,B12,mgy,mgy,mgy,mgy,mgy,mgy
2,MGY2,Delta.1m2.072021,COI,A,87,UDP0087,UDP0087,G11,mgy,mgy,mgy,mgy,mgy,mgy
2,MGY3,Delta.1m3.072021,COI,A,95,UDP0095,UDP0095,G12,mgy,mgy,mgy,mgy,mgy,mgy
2,MGY4,MBT.1m1.072021,COI,A,96,UDP0096,UDP0096,H12,mgy,mgy,mgy,mgy,mgy,mgy
3,MGY5,MBT.1m2.072021,COI,A,65,UDP0065,UDP0065,A09,mgy,mgy,mgy,mgy,mgy,mgy
3,MGY6,MBT.1m3.072021,COI,A,67,UDP0067,UDP0067,C09,mgy,mgy,mgy,mgy,mgy,mgy
3,MGY7,HIP.1m3.072021,COI,A,91,UDP0091,UDP0091,C12,mgy,mgy,mgy,mgy,mgy,mgy
3,MGY8,HIP.15m.0721,COI,A,92,UDP0092,UDP0092,D12,mgy,mgy,mgy,mgy,mgy,mgy
3,MGY9,HIP.30m.0721,COI,A,93,UDP0093,UDP0093,E12,mgy,mgy,mgy,mgy,mgy,mgy
2,NGN0095,MiMammal.0321.1Prt.Dn.1,MiMammal,A,1,UDP0001,UDP0001,A01,321,1Prt,Dn,1,10,sample
2,NGN0096,MiMammal.0321.1Prt.Dn.2,MiMammal,A,2,UDP0002,UDP0002,B01,321,1Prt,Dn,2,10,sample
2,NGN0097,MiMammal.0321.4Pad.Up11.1,MiMammal,A,3,UDP0003,UDP0003,C01,321,4Pad,Up11,1,1,sample
2,NGN0098,MiMammal.0321.2Brn.Up.3,MiMammal,A,4,UDP0004,UDP0004,D01,321,2Brn,Up,3,1,sample
2,NGN0099,MiMammal.0321.5Sqm.Dn.1,MiMammal,A,5,UDP0005,UDP0005,E01,321,5Sqm,Dn,1,1,sample
2,NGN0100,MiMammal.0321.5Sqm.Up.1,MiMammal,A,6,UDP0006,UDP0006,F01,321,5Sqm,Up,1,1,sample
2,NGN0101,MiMammal.0321.5Sqm.Up.2,MiMammal,A,7,UDP0007,UDP0007,G01,321,5Sqm,Up,2,1,sample
2,NGN0102,MiMammal.0321.2Brn.Up.1TR2,MiMammal,A,8,UDP0008,UDP0008,H01,321,2Brn,Up,1TR2,1,tech_rep
2,NGN0103,MiMammal.0321.2Brn.Up.1TR3,MiMammal,A,9,UDP0009,UDP0009,A02,321,2Brn,Up,1TR3,1,tech_rep
2,NGN0104,MiMammal.0421.1Prt.Dn.3,MiMammal,A,10,UDP0010,UDP0010,B02,421,1Prt,Dn,3,10,sample
2,NGN0105,MiMammal.0421.1Prt.Up.1,MiMammal,A,11,UDP0011,UDP0011,C02,421,1Prt,Up,1,10,sample
2,NGN0106,MiMammal.0421.1Prt.Up.2,MiMammal,A,12,UDP0012,UDP0012,D02,421,1Prt,Up,2,10,sample
2,NGN0107,MiMammal.0421.2Brn.Dn.2,MiMammal,A,13,UDP0013,UDP0013,E02,421,2Brn,Dn,2,1,sample
2,NGN0108,MiMammal.0421.2Brn.Dn.3,MiMammal,A,14,UDP0014,UDP0014,F02,421,2Brn,Dn,3,1,sample
2,NGN0109,MiMammal.0421.2Brn.Up.2,MiMammal,A,15,UDP0015,UDP0015,G02,421,2Brn,Up,2,1,sample
2,NGN0110,MiMammal.0421.2Brn.Up.3,MiMammal,A,16,UDP0016,UDP0016,H02,421,2Brn,Up,3,1,sample
2,NGN0111,MiMammal.0421.3Chk.Up.2,MiMammal,A,17,UDP0017,UDP0017,A03,421,3Chk,Up,2,1,sample
2,NGN0112,MiMammal.0421.3Chk.Up.3,MiMammal,A,18,UDP0018,UDP0018,B03,421,3Chk,Up,3,1,sample
2,NGN0113,MiMammal.0421.4Pad.Dn.2,MiMammal,A,19,UDP0019,UDP0019,C03,421,4Pad,Dn,2,1,sample
2,NGN0114,MiMammal.0421.5Sqm.Dn.2,MiMammal,A,20,UDP0020,UDP0020,D03,421,5Sqm,Dn,2,1,sample
2,NGN0115,MiMammal.0421.5Sqm.Dn.3,MiMammal,A,21,UDP0021,UDP0021,E03,421,5Sqm,Dn,3,1,sample
2,NGN0116,MiMammal.0421.5Sqm.Up.1,MiMammal,A,22,UDP0022,UDP0022,F03,421,5Sqm,Up,1,1,sample
2,NGN0117,MiMammal.0421.5Sqm.Up.2,MiMammal,A,23,UDP0023,UDP0023,G03,421,5Sqm,Up,2,1,sample
2,NGN0118,MiMammal.0821.1Prt.Dn.2,MiMammal,A,24,UDP0024,UDP0024,H03,821,1Prt,Dn,2,1,sample
2,NGN0119,MiMammal.0821.1Prt.Dn.3,MiMammal,A,25,UDP0025,UDP0025,A04,821,1Prt,Dn,3,1,sample
2,NGN0120,MiMammal.0821.1Prt.Up.2,MiMammal,A,26,UDP0026,UDP0026,B04,821,1Prt,Up,2,10,sample
2,NGN0121,MiMammal.0821.2Brn.Up.1,MiMammal,A,27,UDP0027,UDP0027,C04,821,2Brn,Up,1,1,sample
2,NGN0122,MiMammal.0821.3Chk.Dn.1,MiMammal,A,28,UDP0028,UDP0028,D04,821,3Chk,Dn,1,1,sample
2,NGN0123,MiMammal.0821.3Chk.Dn.3,MiMammal,A,29,UDP0029,UDP0029,E04,821,3Chk,Dn,3,1,sample
2,NGN0124,MiMammal.0821.3Chk.Up.3,MiMammal,A,30,UDP0030,UDP0030,F04,821,3Chk,Up,3,1,sample
2,NGN0125,MiMammal.0821.4Pad.Up11.3,MiMammal,A,31,UDP0031,UDP0031,G04,821,4Pad,Up11,3,1,sample
2,NGN0126,MiMammal.0821.4Pad.Up5.2,MiMammal,A,32,UDP0032,UDP0032,H04,821,4Pad,Up5,2,1,tech_rep
2,NGN0127,MiMammal.0821.5Sqm.Up.3,MiMammal,A,33,UDP0033,UDP0033,A05,821,5Sqm,Up,3,1,sample
2,NGN0128,MiMammal.0821.4Pad.Up5.2TR2,MiMammal,A,34,UDP0034,UDP0034,B05,821,4Pad,Up5,2TR2,1,tech_rep
2,NGN0129,MiMammal.0821.4Pad.Up5.2TR3,MiMammal,A,35,UDP0035,UDP0035,C05,821,4Pad,Up5,2TR3,1,tech_rep
2,NGN0130,MiMammal.0421.Kangaroo,MiMammal,A,36,UDP0036,UDP0036,D05,,Kangaroo,Kangaroo,1,1,kangaroo
2,NGN0131,MiFish.0321.1Prt.Up.1,MiFish,A,37,UDP0037,UDP0037,E05,321,1Prt,Up,1,10,sample
2,NGN0132,MiFish.0321.2Brn.Dn.3,MiFish,A,38,UDP0038,UDP0038,F05,321,2Brn,Dn,3,1,sample
2,NGN0133,MiFish.0321.3Chk.Dn.1,MiFish,A,39,UDP0039,UDP0039,G05,321,3Chk,Dn,1,10,sample
2,NGN0134,MiFish.0321.3Chk.Dn.3,MiFish,A,40,UDP0040,UDP0040,H05,321,3Chk,Dn,3,10,sample
2,NGN0135,MiFish.0321.3Chk.Up.2,MiFish,A,41,UDP0041,UDP0041,A06,321,3Chk,Up,2,10,sample
2,NGN0136,MiFish.0321.4Pad.Dn.2,MiFish,A,42,UDP0042,UDP0042,B06,321,4Pad,Dn,2,1,sample
2,NGN0137,MiFish.0321.4Pad.Dn.3,MiFish,A,43,UDP0043,UDP0043,C06,321,4Pad,Dn,3,1,sample
2,NGN0138,MiFish.0321.4Pad.Up11.1,MiFish,A,44,UDP0044,UDP0044,D06,321,4Pad,Up11,1,1,sample
2,NGN0139,MiFish.0321.4Pad.Up11.3,MiFish,A,45,UDP0045,UDP0045,E06,321,4Pad,Up11,3,1,sample
2,NGN0140,MiFish.0321.4Pad.Up5.1,MiFish,A,46,UDP0046,UDP0046,F06,321,4Pad,Up5,1,1,sample
2,NGN0141,MiFish.0321.4Pad.Up5.2,MiFish,A,47,UDP0047,UDP0047,G06,321,4Pad,Up5,2,1,sample
2,NGN0142,MiFish.0321.4Pad.Up5.3,MiFish,A,48,UDP0048,UDP0048,H06,321,4Pad,Up5,3,10,sample
2,NGN0143,MiFish.0321.5Sqm.Dn.3,MiFish,A,49,UDP0049,UDP0049,A07,321,5Sqm,Dn,3,1,sample
2,NGN0144,MiFish.0321.5Sqm.Up.1,MiFish,A,50,UDP0050,UDP0050,B07,321,5Sqm,Up,1,1,sample
2,NGN0145,MiFish.0421.1Prt.Dn.1,MiFish,A,51,UDP0051,UDP0051,C07,421,1Prt,Dn,1,100,sample
2,NGN0146,MiFish.0421.1Prt.Dn.3,MiFish,A,52,UDP0052,UDP0052,D07,421,1Prt,Dn,3,10,sample
2,NGN0147,MiFish.0421.2Brn.Dn.2,MiFish,A,53,UDP0053,UDP0053,E07,421,2Brn,Dn,2,1,sample
2,NGN0148,MiFish.0421.2Brn.Dn.3,MiFish,A,54,UDP0054,UDP0054,F07,421,2Brn,Dn,3,1,sample
2,NGN0149,MiFish.0421.2Brn.Up.2,MiFish,A,55,UDP0055,UDP0055,G07,421,2Brn,Up,2,1,sample
2,NGN0150,MiFish.0421.3Chk.Dn.1,MiFish,A,56,UDP0056,UDP0056,H07,421,3Chk,Dn,1,10,sample
2,NGN0151,MiFish.0421.3Chk.Dn.2,MiFish,A,57,UDP0057,UDP0057,A08,421,3Chk,Dn,2,1,sample
2,NGN0152,MiFish.0421.3Chk.Up.1,MiFish,A,58,UDP0058,UDP0058,B08,421,3Chk,Up,1,10,sample
2,NGN0153,MiFish.0421.4Pad.Up11.2,MiFish,A,59,UDP0059,UDP0059,C08,421,4Pad,Up11,2,1,sample
2,NGN0154,MiFish.0421.4Pad.Up5.1,MiFish,A,60,UDP0060,UDP0060,D08,421,4Pad,Up5,1,1,sample
2,NGN0155,MiFish.0421.4Pad.Up5.2,MiFish,A,61,UDP0061,UDP0061,E08,421,4Pad,Up5,2,1,sample
2,NGN0156,MiFish.0421.5Sqm.Dn.2,MiFish,A,62,UDP0062,UDP0062,F08,421,5Sqm,Dn,2,1,sample
2,NGN0157,MiFish.0421.5Sqm.Dn.3,MiFish,A,63,UDP0063,UDP0063,G08,421,5Sqm,Dn,3,1,sample
2,NGN0158,MiFish.0421.5Sqm.Up.2,MiFish,A,64,UDP0064,UDP0064,H08,421,5Sqm,Up,2,1,sample
2,NGN0159,MiFish.0421.5Sqm.Up.3,MiFish,A,65,UDP0065,UDP0065,A09,421,5Sqm,Up,3,1,sample
2,NGN0160,MiFish.0821.1Prt.Dn.2,MiFish,A,66,UDP0066,UDP0066,B09,821,1Prt,Dn,2,1,sample
2,NGN0161,MiFish.0821.1Prt.Dn.3,MiFish,A,67,UDP0067,UDP0067,C09,821,1Prt,Dn,3,1,sample
2,NGN0162,MiFish.0821.1Prt.Up.2,MiFish,A,68,UDP0068,UDP0068,D09,821,1Prt,Up,2,10,sample
2,NGN0163,MiFish.0821.1Prt.Up.3,MiFish,A,69,UDP0069,UDP0069,E09,821,1Prt,Up,3,10,sample
2,NGN0164,MiFish.0821.2Brn.Dn.2,MiFish,A,70,UDP0070,UDP0070,F09,821,2Brn,Dn,2,1,tech_rep
2,NGN0165,MiFish.0821.2Brn.Up.1,MiFish,A,71,UDP0071,UDP0071,G09,821,2Brn,Up,1,1,sample
2,NGN0166,MiFish.0821.2Brn.Up.3,MiFish,A,72,UDP0072,UDP0072,H09,821,2Brn,Up,3,1,sample
2,NGN0167,MiFish.0821.3Chk.Up.1,MiFish,A,73,UDP0073,UDP0073,A10,821,3Chk,Up,1,1,sample
2,NGN0168,MiFish.0821.4Pad.Dn.1,MiFish,A,74,UDP0074,UDP0074,B10,821,4Pad,Dn,1,10,sample
2,NGN0169,MiFish.0821.5Sqm.Dn.1,MiFish,A,75,UDP0075,UDP0075,C10,821,5Sqm,Dn,1,1,sample
2,NGN0170,MiFish.0821.2Brn.Dn.2TR2,MiFish,A,76,UDP0076,UDP0076,D10,821,2Brn,Dn,2TR2,1,tech_rep
2,NGN0171,MiFish.0821.2Brn.Dn.2TR3,MiFish,A,77,UDP0077,UDP0077,E10,821,2Brn,Dn,2TR3,1,tech_rep
2,NGN0172,MiFish.Kangaroo.Run.2,MiFish,A,78,UDP0078,UDP0078,F10,,Kangaroo,Kangaroo,1,1,kangaroo
2,NGN0173,COI.0421.1Prt.Dn.2,COI,A,79,UDP0079,UDP0079,G10,421,1Prt,Dn,2,100,sample
2,NGN0174,COI.0421.1Prt.Up.1,COI,A,80,UDP0080,UDP0080,H10,421,1Prt,Up,1,100,sample
2,NGN0175,COI.0421.1Prt.Up.3,COI,A,81,UDP0081,UDP0081,A11,421,1Prt,Up,3,100,sample
2,NGN0176,COI.0421.2Brn.Up.1,COI,A,82,UDP0082,UDP0082,B11,421,2Brn,Up,1,1,sample
2,NGN0177,COI.0421.2Brn.Up.3,COI,A,83,UDP0083,UDP0083,C11,421,2Brn,Up,3,1,sample
2,NGN0178,COI.0421.3Chk.Dn.1,COI,A,84,UDP0084,UDP0084,D11,421,3Chk,Dn,1,1,sample
2,NGN0179,COI.0421.4Pad.Up11.3,COI,A,86,UDP0086,UDP0086,F11,421,4Pad,Up11,3,1,sample
2,NGN0180,COI.0421.5Sqm.Dn.2,COI,A,88,UDP0088,UDP0088,H11,421,5Sqm,Dn,2,1,sample
2,NGN0181,COI.0421.5Sqm.Up.2,COI,A,89,UDP0089,UDP0089,A12,421,5Sqm,Up,2,1,sample
2,NGN0182,COI.0821.3Chk.Up.2,COI,A,90,UDP0090,UDP0090,B12,821,3Chk,Up,2,1,sample
2,NGN0183,COI.0821.4Pad.Dn.1,COI,A,91,UDP0091,UDP0091,C12,821,4Pad,Dn,1,1,sample
2,NGN0184,COI.0821.4Pad.Up11.1,COI,A,92,UDP0092,UDP0092,D12,821,4Pad,Up11,1,1,sample
2,NGN0185,COI.0821.4Pad.Up5.2,COI,A,93,UDP0093,UDP0093,E12,821,4Pad,Up5,2,1,sample
2,NGN0186,COI.Kangaroo.Run.2,COI,A,94,UDP0094,UDP0094,F12,,Kangaroo,Kangaroo,1,1,kangaroo
3,NGN0187,MiMammal.0321.2Brn.Dn.3,MiMammal,A,1,UDP0001,UDP0001,A01,321,2Brn,Dn,3,1,sample
3,NGN0188,MiMammal.0321.4Pad.Dn.2,MiMammal,A,2,UDP0002,UDP0002,B01,321,4Pad,Dn,2,1,sample
3,NGN0189,MiMammal.0321.2Brn.Up.1,MiMammal,A,3,UDP0003,UDP0003,C01,321,2Brn,Up,1,1,tech_rep
